company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Tempow,Microlytic,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Widetronix,Viviota,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,0
Alien Technology,Blu Wireless,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,11.0,United Kingdom,0.0,0
Multiphoton Optics GmbH,Orthogonal,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
TeraView,Beneq,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,3.0,Finland,0.0,0
GreenRay Solar,TimeLab,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Jeeva Wireless,eSilicon,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,0
Satin Technologies,SiOnyx,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Peraso Technologies,Sensichips,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,semiconductor,2013-08-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
Codasip,Integrated Detector Electronics SA,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,0
Eblana Photonics,Octasic,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Liquid X,ASIC Engineering Corporation,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1996-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Ferroelectric Memory Company,Kandou Bus SA,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,10.0,Switzerland,0.0,0
Excillum,Orthogonal,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
Integrated Detector Electronics SA,TRINAMIC Motion Control,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
Tempow,Tsinghua Unigroup,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,1988-01-01,$500M to $1B,10001+,0.0,1.0,China,0.0,0
NantWorks,Eblana Photonics,semiconductor,2010-01-01,$100M to $500M,51-100,0.0,1.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
IQ-Analog Corporation,Humavox Wireless Charging,semiconductor,2004-12-28,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,0
Evident Technologies,Movellus,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,0
Cymbet,SmartKem,semiconductor,2000-01-01,$10M to $50M,11-50,0.0,10.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Engim,Fortemedia,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
Silicon Radar,AltraTech,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,0
Sckipio Technologies,Oree Advanced Illumination Solutions,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,Israel,0.0,0
SVXR,Microlytic,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Luxcore,BinaryWave,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Alien Technology,Chelsio Communications,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,13.0,United States,0.0,0
Surrey NanoSystems,Breadware Inc,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
NXTSENS Microsystems,MTPV,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,0
Bosch Rexroth Corporation,Wave Computing,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Unispectral,TimeSys Corporation,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
NXTSENS Microsystems,Vectron International,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
GreenRay Solar,Cooledge Lighting,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Tempo Automation,Breadware Inc,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
Tela Innovations,Tsinghua Unigroup,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,1988-01-01,$500M to $1B,10001+,0.0,1.0,China,0.0,0
Matrix Industries,Tactus Technology,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,0
Anokiwave,Cavendish Kinetics,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,0
Particle,Extoll GmbH.,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Cambridge Consultants,Impedans,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,0
EpiCrystals,XSI Semi Conductors,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,semiconductor,2012-01-01,$10M to $50M,11-50,0.0,1.0,India,0.0,0
Fresco Microchip,Ferfics,semiconductor,2004-01-01,design and manufacture of frequency control devices including- Packaged Quartz,101-500,0.0,3.0,Canada,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
Reveal Design Automation,GrAI Matter Labs,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,0
Reduced Energy Microsystems,SuVolta,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,51-100,0.0,6.0,United States,0.0,0
MMB Networks,Flex Logix Technologies  Inc.,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,0
SiOnyx,TRINAMIC Motion Control,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
Think Silicon S.A.,Nanotronics Imaging,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,0
Amalfi Semiconductor,Evident Technologies,semiconductor,2003-01-01,$1M to $10M,51-100,0.0,4.0,United States,0.0,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Surrey NanoSystems,Teklatech,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,0
Critical Links,Engim,semiconductor,2006-11-01,$1M to $10M,101-500,0.0,4.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Netronome Systems,Cleanpart Group,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,semiconductor,1998-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
Usound,LucidPort Technology,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Sckipio Technologies,Altobeam,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,0
Helyssen,Tempo Automation,semiconductor,2003-01-01,$1M,01-10,0.0,1.0,Switzerland,0.0,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,0
Semitech Semiconductor,Keyotee,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Orthogonal,LucidPort Technology,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
GCT Semiconductor,Extoll GmbH.,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
NXTSENS Microsystems,Lion Semiconductor Inc,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Sheaumann Laser,Matrix Industries,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Nexdot,R2 Semiconductor,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,3.0,France,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Floadia Corporation,TeraView,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Japan,0.0,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,0
Tehuti Networks,Impedans,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,0
Ascatron,Wiliot,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,semiconductor,2017-01-01,$1M to $10M,11-50,0.0,8.0,Israel,0.0,0
SponDoolies-Tech,TeamLinux,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Revasum,Usound,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,0
Nantero,SiOnyx,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
e-peas,Mythic,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,semiconductor,2012-05-01,$1M to $10M,11-50,0.0,12.0,United States,0.0,0
Unispectral,Cambridge Consultants,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
Vayyar,Ensphere Solutions,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Israel,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Chelsio Communications,Open Silicon,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,13.0,United States,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
ACME Advanced Materials,AZZURRO Semiconductors,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,0
Cambridge Consultants,Brite Semiconductor,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,0
Lime Microsystems,Tempo Automation,semiconductor,2005-03-01,$1M to $10M,11-50,0.0,6.0,United Kingdom,0.0,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,0
Scifiniti,FocalSpec Ltd,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
GreenRay Solar,Polymer Holding Corporation,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Evident Technologies,Triad Semiconductor,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2002-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Integrated Detector Electronics SA,Dover Microsystems,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Brolis Semiconductors,Scientific Visual,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,1.0,Switzerland,0.0,0
MMB Networks,Altobeam,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,0
HexaTech,Cooledge Lighting,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Gigoptix,GCT Semiconductor,semiconductor,2001-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
SatixFy,Think Silicon S.A.,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,0
Multiphoton Optics GmbH,Lion Semiconductor Inc,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Silicon Genesis,Bantam Tools,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,0
ActLight,Matrix Industries,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Palma Ceia SemiDesign  Inc.,Tempow,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
TRINAMIC Motion Control,Eblana Photonics,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Semitech Semiconductor,FSI International,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,0
SponDoolies-Tech,Viviota,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,0
VSORA,UbiQD,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,0
Orthogonal,Bantam Tools,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,0
Lynx Software Technologies,Rockley Photonics,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Fortemedia,Indice Semiconductor,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Saphlux,TimeSys Corporation,semiconductor,2014-01-01,$1M,11-50,0.0,8.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Nanotronics Imaging,Syndiant,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
eSilicon,AnDAPT,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
Ensphere Solutions,D2S,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Integrated Detector Electronics SA,Lynx Software Technologies,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Satin Technologies,H2OPTX,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,0
Netronome Systems,Aveni,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,13.0,France,0.0,0
